|Sr No|Zone|Region|Branch/Micro Market|Collateral Type|Sub Collateral Type|Categorisation (P/A/I)|Type 1/2/3/4|Documentation & other Approvals|
|32   |East   |Odisha        |Bhubaneswar                                               |Non-Converted Land in DA & GP Limit LAP Cases                                                                                                                                      |LAP Cases location should be developed with 50% residential habitat                                                                                     |I                     |Type IV           |1. Self - occupied property and age of the property should be more than 5 years. 2.Locality should be developed with 50% residential habitat. 3.Clear road access to the property.(15ft or more) 4.Registered Sale deed.  5.Homestead ROR 6.Electricity Bill  7.Sketch map/ Amin map for for part plot/Sub Plot.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|33   |East   |Odisha        |Bhubaneswar                                               |Property in sensitive zone, Public and semi public zone, industrial zone, Residential within special heritage zone.                                                                |HL Cases in DA/MC limit without sanction plan                                                                                                           |A                     |Type III          |1.Locality should be developed with 40% residential habitat. 2.Clear road access to the property. 3.Registered Sale deed.  4.Homestead ROR 5.Electricity Bill  6.Sketch map/ Amin map for for part plot/Sub Plot. 7.Sale Agreement for Resale Properties.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|34   |East   |Odisha        |Bhubaneswar                                               |Property in sensitive zone, Public and semi public zone, industrial zone, Residential within special heritage zone.                                                                |LAP Cases in DA/MC limit                                                                                                                                |A                     |Type III          |1.Locality should be developed with 40% residential habitat. 2.Clear road access to the property. 3.Registered Sale deed.  4.Homestead ROR 5.Electricity Bill  6.Sketch map/ Amin map for for part plot/Sub Plot.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|35   |East   |Odisha        |Bhubaneswar                                               |Property in Open space zone,  Agriculture zone.                                                                                                                                    |HL & LAP Cases in DA/MC limit , area should be 50% developed with residential habitat                                                                   |                      |Type IV           |1.Locality should be developed with 40% residential habitat. 2. Recommended for HL & LAP cases. Plot purchase not allowed. 3.Clear road access to the property. 4. Registered Sale deed.  5. Homestead ROR 6.Electricity Bill  7.Sketch map/ Amin map for for part plot/Sub Plot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|36   |East   |Odisha        |Bhubaneswar                                               |Not Final area                                                                                                                                                                     |Mutation not available, NOC available                                                                                                                   |I                     |Type IV           |1.Registered Sal deed. 2.Not final ROR. 3.Hal sabak plot index. 4.NOC from respective authority. 5.Sketch map/Amin report for identification. 6.Locality should be 50% residential habitat.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|37   |East   |Odisha        |Bhubaneswar                                               |Residential properties with an approach of 10 to 15 feet within DA/MC/GP                                                                                                           |Area should be 50% residentially developed                                                                                                              |A                     |Type II           |1.100% completed property should be considered. 2.Registered Sale deed 3.Homestead ROR 4.Electricity bill 5.Holding tax where property is within MC limit 6.Plan available. 7.Sketch/Amin report for sub plot/part plot.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|38   |East   |Odisha        |Bhubaneswar                                               |Residential properties with Narrow  approach of  road less than 10  ft (Between 6 ft to 9 ft ) within DA/MC limit                                                                  |Area should be 50% residentially developed                                                                                                              |A                     |Type III          |1.100% completed property should be considered. 2.Registered Sale deed 3.Homestead ROR 4.Electricity bill 5.Holding tax where property is within MC limit. 6. Self-Construction not allowed.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|39   |East   |Odisha        |Bhubaneswar                                               |Plot purchase without approved layout                                                                                                                                              |Layout plan not available with MC/DA / GP limit                                                                                                         |A                     |Type III          |1.Agreement to Sale with seller & Buyer signature 2.Sketch map/ Amin map/ Layout of the plot with boundaries of the plot for individual plot 3.Road agreement where access road is through revenue plot. 4.Homestead ROR from the seller 5. Unapproved Builder Layout of project with signature of both Builder and customer on the document. 6.Construction Estimate for P+C cases 7.Prior Sale deed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|40   |North  |Delhi-NCR     |Delhi                                                     |Delhi Regularised  colony                                                                                                                                                          |MDU, FLOORS and ROW HOUSE                                                                                                                               |A                     |Type III          |1.)Route plan from nearest landmark is to be documented duly signed by seller/Buyer.                                                                                                                                                                                                                                                                                                                                                                                                                2.)EC Bill Should be in favour of present owner and Meter number as per site and as per EC bill should be same.                                                                                                                                                                                                                                                                  3.)Self-Declaration/Indemnity on stamp paper duly signed by seller and buyer for acceptance of property along with photograph of applicant standing in front of property                                                                                                                       4.)Floor/Elevation plan duly signed by seller/buyer is to be documented                                                                                                                                                                                                                                      5.)Minumum Plot area is 100 Sqyard   for MDU.                                                                                                                                                                                                                                                                                                                      6.)Minimum distance from religous structure is 50metres                                                                                                                                                                                                                                                                                                           7.)Maximum Five units Per floor are applicable for MDU                                                                                                                                                                                                                                                                                   8.)Noting to be done on mother deed for HL/Resale trasaction.                                                                                                                                            9.)Minimum road width should be 10 feet.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
|41   |North  |Delhi-NCR     |Delhi                                                     |Delhi Regularised  colony with plan available                                                                                                                                      |FLOORS and ROW HOUSE                                                                                                                                    |A                     |Type II           |This is applicable for collaterals(Row House/Floors), Where we are getting sanction plan , rest condition/Approvals are same as mentioned below:-                                                                                                                                                                                                             1.)Route plan from nearest landmark is to be documented duly signed by seller/Buyer.                                                                                                                                                                                                                                                                                                                                                                                                                2.)EC Bill Should be in favour of present owner and Meter number as per site and as per EC bill should be same.                                                                                                                                                                                                                                                                  3.)Self-Declaration/Indemnity on stamp paper duly signed by seller and buyer for acceptance of property along with photograph of applicant standing in front of property                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        6.)Minimum distance from religous structure is 50metres                                                                                                                                                                7.)Minimum Road width is 10 feet                                                                                                                                                                                                             8.)Noting to be done on Mother deed                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|42   |North  |Delhi-NCR     |Noida, Greater Noida and Ghaziabad                        |Unauthorized/Free Hold in Noida/Greater Noida and Ghaziabad                                                                                                                        |MDU, FLOORS and ROW HOUSE                                                                                                                               |I                     |Type III          |1.)Route plan from nearest landmark is to be documented duly signed by seller/Buyer.                                                                                                                                                                                                                 2.)Mutation in favour of  seller in case of HL/Resale cases and in favor of owner for LAP cases, same should be there in BHULEKH Records.                                                                                                                                                                                                                                        3.)Minumum Occupancy should be in range of 40 to 50 Percent.                                                                                                                                                                                                                                                          4.)EC Bill Should be in favour of present owner and Meter number as per site and as per EC bill should be same.                                                                                                                                                       5.)Minimum distance  for funding any collateral nearby River-Bed area is 435 Meters from Central point of River.                                                                                                                                                 6.)Self-Declaration/Indemnity on stamp paper duly signed by seller and buyer for acceptance of property along with photograph of applicant standing in front of property                                                                                                                                                  7.)Minimum Road width is 8 feet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|43   |North  |Delhi-NCR     |Noida, Greater Noida and Ghaziabad                        |Unauthorized/Free Hold in Noida/Greater Noida and Ghaziabad                                                                                                                        |MDU, FLOORS and ROW HOUSE                                                                                                                               |I                     |Type IV           |This is applicable for location where we are not getting  CLU/NON-AGRI permission, rest other approvals/documentation is mentioned below:-                                                                                                                                                                       1.)Route plan from nearest landmark is to be documented duly signed by seller/Buyer.                                                                                                                                                                                                                 2.)Mutation in favour of  seller in case of HL/Resale cases and in favor of owner for LAP cases, same should be there in BHULEKH Records.                                                                                                                                                                                                                                        3.)Minumum Occupancy should be in range of 40 to 50 Percent.                                                                                                                                                                                                                                                          4.)EC Bill Should be in favour of present owner and Meter number as per site and as per EC bill should be same.                                                                                                                                                         5.)Minimum distance  for funding any collateral nearby River-Bed area is 435 Meters from Central point of River.                                                                                                                                                 6.)Self-Declaration/Indemnity on stamp paper duly signed by seller and buyer for acceptance of property along with photograph of applicant standing in front of property                                                                                                                                                   7.)Minimum Road width is to be 8 Feet                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
